id,emp,comp,lastratingdate,left
4306,172,jblrepyr,06-02-2017,0
1315,39,ugldwwzf,24-02-2017,0
1184,110,iqdwmigj,21-02-2017,0
301,393,bnivzbfi,19-03-2017,0
1270,2,ugldwwzf,17-03-2017,0
2162,819,phcvroct,20-03-2017,0
1891,224,phcvroct,07-02-2016,1
3548,167,vwcdylha,10-11-2016,0
3210,167,siexkzzo,16-03-2017,0
1235,172,iqdwmigj,01-02-2017,0
1825,184,phcvroct,20-03-2017,0
3590,17,ojidyfnn,13-06-2016,0
4172,220,ydqdpmvi,16-02-2017,0
2294,29,rcwkfavv,18-03-2017,0
3505,110,vwcdylha,26-09-2016,0
4080,103,ydqdpmvi,17-03-2017,0
3101,29,siexkzzo,27-02-2017,0
2998,110,ejeyobsm,08-02-2017,0
615,149,yodaczsb,17-10-2016,1
2666,214,ujplihug,20-03-2017,0
3212,169,siexkzzo,17-03-2017,0
721,6,ocsicwng,17-03-2017,0
3823,134,bhqczwkj,22-02-2017,0
4062,83,ydqdpmvi,23-01-2017,0
220,261,bnivzbfi,01-08-2016,1
2469,276,rcwkfavv,18-03-2017,0
3230,195,siexkzzo,20-03-2017,0
2258,996,phcvroct,15-03-2017,0
4635,322,wsmblohy,27-02-2017,1
4799,812,wsmblohy,14-03-2017,0
4389,29,rcyiinms,17-03-2017,0
1364,114,ugldwwzf,20-03-2017,0
3781,79,bhqczwkj,23-11-2016,0
2514,25,pkeebtfe,21-11-2016,0
3050,27,lgqwnfsg,16-03-2017,0
3207,164,siexkzzo,28-12-2016,0
1960,323,phcvroct,27-05-2016,0
4596,232,wsmblohy,20-03-2017,0
2504,9,pkeebtfe,16-12-2016,0
3355,379,siexkzzo,30-01-2017,0
1061,72,rujnkvse,18-03-2017,0
655,201,yodaczsb,23-12-2016,1
4362,2,rcyiinms,07-02-2017,0
1967,340,phcvroct,14-06-2015,0
2169,829,phcvroct,20-10-2016,1
341,476,bnivzbfi,30-12-2016,0
1992,392,phcvroct,05-03-2015,0
35,24,bnivzbfi,20-03-2017,0
2218,921,phcvroct,05-10-2016,1
1136,18,iqdwmigj,20-02-2017,0
4838,853,wsmblohy,17-03-2017,0
2676,232,ujplihug,15-03-2017,0
62,61,bnivzbfi,24-10-2016,0
2564,68,ujplihug,09-02-2017,0
2157,804,phcvroct,14-09-2016,0
3016,16,nmxkgvmi,21-10-2016,0
4026,41,ydqdpmvi,20-03-2017,0
1673,105,phcvroct,04-01-2017,0
3956,308,bhqczwkj,14-03-2017,0
2105,630,phcvroct,16-08-2016,0
2746,7,pfmjacpm,17-03-2017,0
3906,240,bhqczwkj,17-02-2017,0
3875,207,bhqczwkj,07-10-2016,0
2323,80,rcwkfavv,20-03-2017,0
2837,11,azalutpt,29-11-2014,0
3079,5,siexkzzo,03-03-2017,0
4715,519,wsmblohy,02-03-2017,1
2883,36,dmgwoqhz,20-03-2017,0
2104,626,phcvroct,29-09-2016,1
4682,448,wsmblohy,22-02-2017,0
252,305,bnivzbfi,20-03-2017,0
2379,150,rcwkfavv,21-09-2016,0
2831,1,azalutpt,26-11-2014,0
311,421,bnivzbfi,13-03-2017,0
2776,26,ylpksopb,14-11-2016,0
40,539,bnivzbfi,20-03-2017,0
2072,568,phcvroct,23-06-2016,1
2858,8,dmgwoqhz,20-03-2017,0
3712,56,spfcrgea,09-06-2016,0
4841,856,wsmblohy,17-03-2017,0
2835,7,azalutpt,10-02-2015,0
821,142,ocsicwng,17-03-2017,0
908,83,ewpvmfbc,09-06-2016,0
2734,419,ujplihug,16-09-2016,1
4585,214,wsmblohy,20-03-2017,0
2412,189,rcwkfavv,18-09-2016,1
623,159,yodaczsb,23-01-2017,1
3045,21,lgqwnfsg,26-12-2016,0
2167,826,phcvroct,04-02-2017,0
4280,123,jblrepyr,14-12-2016,0
3934,274,bhqczwkj,13-03-2017,0
4368,8,rcyiinms,01-12-2016,0
3824,139,bhqczwkj,13-10-2016,0
2495,320,rcwkfavv,24-09-2016,1
2441,229,rcwkfavv,19-09-2016,0
2826,94,ylpksopb,20-03-2017,0
828,152,ocsicwng,11-01-2017,0
1931,275,phcvroct,27-03-2015,1
4104,130,ydqdpmvi,10-06-2016,0
2040,485,phcvroct,06-03-2017,1
3570,194,vwcdylha,27-09-2016,0
22,12,bnivzbfi,06-03-2017,0
0,512,bnivzbfi,23-02-2017,0
1697,117,phcvroct,20-03-2017,0
466,52,yodaczsb,20-03-2017,0
4288,134,jblrepyr,11-11-2016,0
2696,261,ujplihug,18-12-2016,0
1621,78,phcvroct,20-03-2017,1
231,273,bnivzbfi,19-03-2017,0
662,211,yodaczsb,15-12-2016,1
3057,35,lgqwnfsg,20-03-2017,0
798,105,ocsicwng,20-03-2017,0
3826,142,bhqczwkj,17-03-2017,0
2227,935,phcvroct,06-07-2016,1
237,282,bnivzbfi,20-03-2017,0
3535,147,vwcdylha,25-11-2016,0
3903,237,bhqczwkj,03-02-2017,0
2979,90,ejeyobsm,24-08-2016,0
3641,74,ojidyfnn,10-06-2016,0
2556,59,ujplihug,10-03-2017,0
2928,29,ejeyobsm,26-08-2016,0
2452,249,rcwkfavv,26-10-2016,0
1553,43,phcvroct,20-03-2017,1
2559,62,ujplihug,20-02-2017,0
3954,306,bhqczwkj,20-12-2016,0
786,91,ocsicwng,18-03-2017,0
2342,107,rcwkfavv,13-02-2017,0
2779,29,ylpksopb,23-01-2017,1
1105,14,vcqsbirc,31-01-2016,0
3939,282,bhqczwkj,08-03-2017,0
4184,260,jblrepyr,19-03-2017,0
2599,120,ujplihug,17-01-2017,0
4175,226,ydqdpmvi,27-02-2017,0
3604,32,ojidyfnn,13-06-2016,0
4375,15,rcyiinms,20-03-2017,0
4044,61,ydqdpmvi,20-03-2017,0
3336,354,siexkzzo,14-03-2017,0
2219,922,phcvroct,14-09-2016,1
2954,58,ejeyobsm,01-03-2017,0
2100,622,phcvroct,20-03-2017,0
2609,136,ujplihug,13-03-2017,0
2053,502,phcvroct,21-10-2016,0
1797,169,phcvroct,06-02-2017,1
3271,257,siexkzzo,20-03-2017,0
2929,30,ejeyobsm,20-03-2017,0
1035,26,rujnkvse,18-03-2017,0
4579,206,wsmblohy,23-02-2017,1
325,446,bnivzbfi,16-02-2017,0
4008,20,ydqdpmvi,11-03-2017,0
4791,804,wsmblohy,16-03-2017,0
1928,270,phcvroct,20-03-2017,0
2639,171,ujplihug,20-03-2017,0
2419,200,rcwkfavv,21-09-2016,0
4690,470,wsmblohy,22-02-2017,0
2020,453,phcvroct,15-09-2016,1
2021,459,phcvroct,09-02-2016,1
1368,118,ugldwwzf,17-03-2017,0
124,135,bnivzbfi,20-03-2017,0
4698,485,wsmblohy,14-03-2017,0
3349,371,siexkzzo,10-03-2017,0
4141,175,ydqdpmvi,20-03-2017,0
2152,769,phcvroct,01-06-2016,1
4330,222,jblrepyr,13-10-2016,0
4571,192,wsmblohy,17-03-2017,0
1925,267,phcvroct,22-02-2017,0
4074,96,ydqdpmvi,18-03-2017,0
1336,73,ugldwwzf,14-03-2017,0
2450,246,rcwkfavv,20-03-2017,0
688,266,yodaczsb,03-03-2017,1
3663,22,jnvpfmup,20-03-2017,0
61,59,bnivzbfi,20-03-2017,0
2557,60,ujplihug,19-03-2017,0
3911,247,bhqczwkj,24-02-2017,0
4773,759,wsmblohy,18-03-2017,0
4591,225,wsmblohy,20-03-2017,0
1657,97,phcvroct,14-09-2016,1
1478,4,phcvroct,18-03-2017,0
1160,64,iqdwmigj,27-02-2017,0
3901,235,bhqczwkj,20-03-2017,0
1689,113,phcvroct,25-11-2016,1
16,8,bnivzbfi,18-01-2017,0
2944,48,ejeyobsm,11-03-2017,0
2087,598,phcvroct,17-03-2017,0
126,137,bnivzbfi,07-02-2017,1
2695,259,ujplihug,20-03-2017,0
2308,48,rcwkfavv,20-02-2017,0
230,272,bnivzbfi,19-03-2017,0
958,150,ewpvmfbc,18-11-2016,0
1877,213,phcvroct,20-03-2017,1
1432,7,xccmgbjz,29-07-2016,1
2743,4,pfmjacpm,09-03-2017,0
1946,296,phcvroct,26-05-2015,1
1381,135,ugldwwzf,05-09-2016,0
3131,69,siexkzzo,12-11-2016,0
358,2,oecfwdaq,15-12-2016,0
4353,2,bucyzegb,18-10-2016,0
2505,10,pkeebtfe,26-09-2016,0
2408,185,rcwkfavv,20-03-2017,0
3361,385,siexkzzo,05-02-2017,0
3806,113,bhqczwkj,07-10-2016,0
3008,39,nmxkgvmi,16-03-2017,0
4020,34,ydqdpmvi,21-02-2017,0
996,212,ewpvmfbc,18-11-2016,0
2485,303,rcwkfavv,09-01-2017,0
3369,2,fqsozvpv,13-03-2017,0
4595,231,wsmblohy,20-03-2017,0
4842,857,wsmblohy,17-03-2017,0
4159,197,ydqdpmvi,20-03-2017,0
1683,110,phcvroct,20-03-2017,0
2782,32,ylpksopb,15-03-2017,0
1557,45,phcvroct,20-03-2017,1
4557,170,wsmblohy,03-03-2017,1
2806,59,ylpksopb,03-08-2016,0
2762,9,ylpksopb,15-03-2017,0
3462,43,vwcdylha,01-08-2016,0
2426,208,rcwkfavv,19-09-2016,1
1745,142,phcvroct,13-09-2016,0
4621,281,wsmblohy,03-03-2017,1
1567,50,phcvroct,17-03-2017,1
3363,387,siexkzzo,20-03-2017,0
2403,179,rcwkfavv,06-12-2016,0
266,328,bnivzbfi,19-03-2017,0
445,40,yodaczsb,11-03-2017,0
760,53,ocsicwng,01-03-2017,0
1918,258,phcvroct,06-08-2015,0
198,235,bnivzbfi,22-07-2016,0
3623,54,ojidyfnn,13-06-2016,0
2160,814,phcvroct,26-09-2016,0
4272,113,jblrepyr,06-10-2016,0
3819,127,bhqczwkj,09-03-2017,0
3958,310,bhqczwkj,20-03-2017,0
898,59,ewpvmfbc,05-09-2016,0
867,16,ewpvmfbc,22-11-2016,0
4233,46,jblrepyr,06-01-2017,0
4221,291,jblrepyr,08-03-2017,0
825,147,ocsicwng,20-03-2017,0
2832,3,azalutpt,26-11-2014,0
594,119,yodaczsb,11-10-2016,1
1898,231,phcvroct,27-12-2015,1
1741,140,phcvroct,28-09-2015,1
1893,226,phcvroct,26-11-2016,0
4383,23,rcyiinms,08-03-2017,0
2201,887,phcvroct,30-09-2016,1
3454,33,vwcdylha,05-04-2016,0
810,122,ocsicwng,18-03-2017,0
1042,41,rujnkvse,20-01-2017,0
793,99,ocsicwng,13-03-2017,0
2497,327,rcwkfavv,03-01-2017,1
315,433,bnivzbfi,13-03-2017,0
1073,89,rujnkvse,18-03-2017,0
3474,65,vwcdylha,18-11-2016,0
2214,916,phcvroct,03-11-2016,1
2367,138,rcwkfavv,23-02-2017,0
2822,88,ylpksopb,25-05-2016,0
875,28,ewpvmfbc,15-11-2016,0
4320,198,jblrepyr,02-11-2016,0
4277,119,jblrepyr,19-11-2016,0
1371,125,ugldwwzf,13-02-2017,0
659,205,yodaczsb,06-01-2017,1
2150,767,phcvroct,14-07-2016,1
1679,108,phcvroct,14-03-2017,1
2605,127,ujplihug,17-03-2017,0
2900,1,ejeyobsm,20-03-2017,0
4176,227,ydqdpmvi,20-03-2017,0
4071,93,ydqdpmvi,18-03-2017,0
1974,351,phcvroct,23-07-2015,1
3593,20,ojidyfnn,13-06-2016,0
920,103,ewpvmfbc,09-11-2016,0
3544,161,vwcdylha,21-11-2016,0
4387,27,rcyiinms,09-03-2017,0
1450,39,xccmgbjz,02-03-2017,0
2913,14,ejeyobsm,08-03-2017,0
2850,13,oqvaqcak,15-08-2016,0
276,344,bnivzbfi,03-11-2016,0
3157,102,siexkzzo,06-07-2016,0
1655,96,phcvroct,06-07-2015,1
223,264,bnivzbfi,03-11-2016,0
946,135,ewpvmfbc,21-04-2016,1
3715,59,spfcrgea,30-01-2016,0
1722,130,phcvroct,20-03-2017,0
255,309,bnivzbfi,28-02-2017,0
2312,58,rcwkfavv,20-03-2017,0
273,339,bnivzbfi,26-10-2016,0
4041,56,ydqdpmvi,20-03-2017,0
1348,89,ugldwwzf,11-03-2017,0
2679,238,ujplihug,02-12-2016,0
987,193,ewpvmfbc,21-04-2016,0
3046,22,lgqwnfsg,16-03-2017,0
2578,91,ujplihug,20-03-2017,0
2158,810,phcvroct,19-03-2017,0
3221,179,siexkzzo,21-09-2016,0
4105,132,ydqdpmvi,19-03-2017,0
243,293,bnivzbfi,01-03-2017,0
3854,179,bhqczwkj,15-12-2016,0
4747,583,wsmblohy,17-03-2017,0
3093,21,siexkzzo,10-03-2017,0
2905,6,ejeyobsm,20-03-2017,0
1351,92,ugldwwzf,17-03-2017,0
4395,35,rcyiinms,20-03-2017,0
4679,443,wsmblohy,20-03-2017,0
1764,152,phcvroct,01-12-2016,1
2249,970,phcvroct,06-02-2017,0
1209,142,iqdwmigj,27-02-2017,0
1296,15,ugldwwzf,19-03-2017,0
879,32,ewpvmfbc,17-05-2016,0
3743,32,bhqczwkj,20-03-2017,0
4224,293,jblrepyr,15-03-2017,0
1377,131,ugldwwzf,09-03-2017,0
4444,18,wsmblohy,20-03-2017,0
2418,198,rcwkfavv,20-03-2017,0
551,96,yodaczsb,14-10-2016,1
4633,317,wsmblohy,03-03-2017,1
860,5,ewpvmfbc,23-11-2016,0
3152,96,siexkzzo,19-11-2016,0
1380,134,ugldwwzf,14-09-2016,1
912,89,ewpvmfbc,21-11-2016,0
1000,216,ewpvmfbc,14-11-2016,0
3217,175,siexkzzo,31-10-2016,0
4750,587,wsmblohy,24-02-2017,0
2561,65,ujplihug,18-03-2017,0
4733,568,wsmblohy,17-03-2017,0
4714,518,wsmblohy,20-03-2017,0
3144,87,siexkzzo,18-09-2016,0
3531,142,vwcdylha,18-03-2016,1
101,105,bnivzbfi,16-03-2017,0
2601,122,ujplihug,20-03-2017,0
2690,250,ujplihug,20-03-2017,0
1430,6,xccmgbjz,30-09-2016,1
2080,580,phcvroct,16-03-2017,0
1356,100,ugldwwzf,17-03-2017,0
3199,154,siexkzzo,16-03-2017,0
4729,560,wsmblohy,20-03-2017,0
1350,91,ugldwwzf,01-09-2016,0
2847,10,oqvaqcak,27-05-2016,0
3775,70,bhqczwkj,12-12-2016,0
2015,442,phcvroct,17-07-2016,1
634,172,yodaczsb,18-10-2016,1
69,71,bnivzbfi,17-08-2016,0
2934,36,ejeyobsm,20-03-2017,0
4025,40,ydqdpmvi,20-03-2017,0
4385,25,rcyiinms,20-03-2017,0
2189,868,phcvroct,05-12-2016,0
154,177,bnivzbfi,18-08-2016,0
1661,99,phcvroct,20-05-2016,1
1227,161,iqdwmigj,28-02-2017,0
1226,160,iqdwmigj,27-02-2017,0
2234,949,phcvroct,20-03-2017,0
3342,361,siexkzzo,13-03-2017,0
3913,249,bhqczwkj,17-11-2016,0
2582,95,ujplihug,19-03-2017,0
3899,233,bhqczwkj,13-02-2017,0
3299,297,siexkzzo,17-03-2017,0
645,189,yodaczsb,11-10-2016,1
1147,40,iqdwmigj,27-02-2017,0
4085,108,ydqdpmvi,20-03-2017,0
1965,336,phcvroct,04-06-2015,1
2212,914,phcvroct,02-11-2016,1
3270,253,siexkzzo,23-06-2016,0
2549,49,ujplihug,20-03-2017,0
193,227,bnivzbfi,22-02-2017,0
2490,311,rcwkfavv,19-03-2017,0
1400,160,ugldwwzf,20-12-2016,0
4782,789,wsmblohy,17-03-2017,0
3979,344,bhqczwkj,22-02-2017,0
1338,77,ugldwwzf,11-08-2016,1
4756,596,wsmblohy,11-03-2017,0
447,41,yodaczsb,01-09-2016,1
4178,230,ydqdpmvi,08-03-2017,0
4160,199,ydqdpmvi,20-03-2017,0
897,58,ewpvmfbc,17-11-2016,0
4179,231,ydqdpmvi,19-03-2017,0
1330,65,ugldwwzf,07-03-2017,1
807,118,ocsicwng,18-03-2017,0
4127,156,ydqdpmvi,20-03-2017,0
3502,103,vwcdylha,18-11-2016,0
1199,131,iqdwmigj,09-02-2017,0
4310,182,jblrepyr,12-12-2016,0
4064,85,ydqdpmvi,11-10-2016,0
2371,142,rcwkfavv,18-03-2017,0
4192,10,jblrepyr,15-11-2016,0
286,358,bnivzbfi,21-06-2016,0
3746,35,bhqczwkj,20-03-2017,0
2463,267,rcwkfavv,19-03-2017,0
1646,91,phcvroct,09-03-2017,0
2500,3,pkeebtfe,19-03-2017,0
4688,465,wsmblohy,20-03-2017,0
2296,33,rcwkfavv,20-03-2017,0
4273,114,jblrepyr,13-01-2017,0
4711,513,wsmblohy,20-03-2017,0
3404,39,fqsozvpv,14-03-2017,0
1149,44,iqdwmigj,28-02-2017,0
4511,72,wsmblohy,27-02-2017,1
679,253,yodaczsb,30-11-2016,1
3499,100,vwcdylha,27-11-2016,0
505,72,yodaczsb,22-12-2016,1
4348,249,jblrepyr,09-12-2016,0
3815,123,bhqczwkj,24-11-2016,0
1671,104,phcvroct,20-03-2017,1
4737,572,wsmblohy,27-02-2017,0
667,232,yodaczsb,22-11-2016,1
2981,93,ejeyobsm,04-10-2016,0
4222,292,jblrepyr,14-12-2016,0
2023,462,phcvroct,01-10-2016,1
3583,9,ojidyfnn,13-06-2016,0
392,13,yodaczsb,07-06-2014,1
4142,177,ydqdpmvi,20-03-2017,0
2569,78,ujplihug,20-03-2017,0
3613,43,ojidyfnn,13-06-2016,0
2808,63,ylpksopb,06-12-2016,0
4730,564,wsmblohy,28-02-2017,1
3882,214,bhqczwkj,20-01-2017,0
3879,211,bhqczwkj,13-03-2017,0
2337,100,rcwkfavv,20-03-2017,0
1509,21,phcvroct,14-03-2017,0
2919,20,ejeyobsm,23-09-2016,0
2687,246,ujplihug,31-12-2016,0
3621,52,ojidyfnn,13-06-2016,0
2567,71,ujplihug,15-03-2017,0
409,22,yodaczsb,26-05-2016,1
2789,40,ylpksopb,19-03-2017,0
251,304,bnivzbfi,01-03-2017,0
2950,54,ejeyobsm,02-09-2016,0
1150,45,iqdwmigj,27-02-2017,0
3696,40,spfcrgea,09-06-2016,0
2917,18,ejeyobsm,01-03-2017,0
3110,41,siexkzzo,21-02-2017,0
2991,103,ejeyobsm,20-03-2017,0
913,90,ewpvmfbc,16-02-2016,0
678,252,yodaczsb,20-10-2016,1
3832,148,bhqczwkj,15-03-2017,0
3482,77,vwcdylha,05-08-2016,0
985,191,ewpvmfbc,06-05-2016,0
2397,172,rcwkfavv,01-03-2017,0
1899,234,phcvroct,17-11-2016,1
1398,158,ugldwwzf,14-02-2017,0
790,95,ocsicwng,13-03-2017,0
92,96,bnivzbfi,17-03-2017,0
3476,70,vwcdylha,20-09-2016,0
3928,266,bhqczwkj,22-02-2017,0
1178,99,iqdwmigj,28-02-2017,0
4131,161,ydqdpmvi,31-08-2016,1
3699,43,spfcrgea,24-05-2016,0
221,262,bnivzbfi,17-03-2017,0
1730,134,phcvroct,29-01-2017,1
2827,97,ylpksopb,25-08-2016,0
4091,114,ydqdpmvi,20-03-2017,0
999,215,ewpvmfbc,30-08-2016,0
929,113,ewpvmfbc,22-11-2016,0
